Restaurant_seq_ID,restaurant_ID,restaurant_name,country_code,Country,city,Address,locality,locality_verbose,restaurant_latitude,restaurant_longitude,cuisines,average_cost_for_two,currency,has_table_booking,has_online_delivery,is_delivering_now,switch_to_order_menu,price_range,aggregate_rating,rating_color,rating_text,rating_votes
4704,5601404,Peking Chinese Restaurant,214,UAE,Sharjah,"Opposite Spinneys Roundabout, Estiqlal Square, Halwan Suburb, Sharjah",Halwan Suburb,"Halwan Suburb, Sharjah",25.348391,55.399227,"Chinese, Thai",130,AED,N,Y,N,N,4,3.8,9ACD32,Good,227
4705,5601521,Applebee's,214,UAE,Sharjah,"Opposite Jumbo Electronics, Level 2, Sahara Centre, Al Nahda, Sharjah","Sahara Centre, Al Nahda","Sahara Centre, Al Nahda, Sharjah",25.297823,55.373536,"American, Mexican, Burger",250,AED,N,Y,N,N,4,4.1,5BA829,Very Good,197
4706,5602055,Rajasthan Al Malaki,214,UAE,Sharjah,"Behind DPS Sharjah Primary School, Muwailih Commercial, Sharjah",Muwailih Commercial,"Muwailih Commercial, Sharjah",25.288772,55.451955,"Indian, North Indian",60,AED,N,N,N,N,3,4.8,3F7E00,Excellent,459
4707,5602377,Paper Fig,214,UAE,Sharjah,"Near Dubai Islamic Bank, Muweilah, University City, Sharjah",University City,"University City, Sharjah",25.308412,55.458343,"Cafe, Bakery, Desserts",150,AED,N,N,N,N,4,4.5,3F7E00,Excellent,143
4708,5602586,Saffron,214,UAE,Sharjah,"Mina Road, Opposite Bird Market, Al Mareija, Sharjah",Al Mareija,"Al Mareija, Sharjah",25.354435,55.382908,"Pakistani, Chinese, Indian, Afghani",90,AED,N,Y,N,N,3,4.1,5BA829,Very Good,192
4709,5602751,Vadakkan Pepper,214,UAE,Sharjah,"Near New City Center Supermarket, Abu Shagara, Sharjah",Abu Shagara,"Abu Shagara, Sharjah",25.338089,55.396984,South Indian,70,AED,N,Y,N,N,3,3.8,9ACD32,Good,210
4710,5602884,Sis Burger,214,UAE,Sharjah,"Behind ADNOC Petrol Station,
Univercity City Road, University City, Sharjah",University City,"University City, Sharjah",25.311272,55.454251,"Fast Food, Burger",50,AED,N,N,N,N,2,3.8,9ACD32,Good,12
4711,5602942,Crafted Blends,214,UAE,Sharjah,"Next To Super Bonanza Hyper Market, Opposite Defence Camp, University City, Sharjah",University City,"University City, Sharjah",25.310369,55.460279,Cafe,110,AED,N,N,N,N,4,4.2,5BA829,Very Good,43
4712,5700052,Cho Gao - Crowne Plaza Abu Dhabi,214,UAE,Abu Dhabi,"Crowne Plaza Abu Dhabi, Sheikh Hamdan Bin Mohammed Street, Al Markaziya, Abu Dhabi","Crowne Plaza Abu Dhabi, Al Markaziya","Crowne Plaza Abu Dhabi, Al Markaziya, Abu Dhabi",24.491235,54.365694,"Thai, Japanese, Chinese, Indonesian, Vietnamese",350,AED,Y,Y,N,N,4,4.4,5BA829,Very Good,246
4713,5700386,Sangeetha Vegetarian Restaurant,214,UAE,Abu Dhabi,"Opposite Cristal Hotel, Behind KM Trading, Electra Street, Madinat Zayed, Abu Dhabi",Madinat Zayed,"Madinat Zayed, Abu Dhabi",24.485253,54.363776,"Indian, South Indian",60,AED,N,Y,N,N,2,3.6,9ACD32,Good,268
